,Time,energy,state-1,state-2
1,1,1.3506,0.0,1.0
2,2,1.3515,0.0,1.0
3,3,1.4259,0.0,1.0
4,4,1.3531,0.0,1.0
5,5,1.4065,0.0,1.0
6,6,1.3847,0.0,1.0
7,7,1.3648,0.0,1.0
8,8,1.4259,0.0,1.0
9,9,1.4173,0.0,1.0
10,10,1.4222,0.0,1.0
11,11,1.4403,0.0,1.0
12,12,1.3852,0.0,1.0
13,13,1.4783,0.0,1.0
14,14,1.5003,0.0,1.0
15,15,1.5211,0.0,1.0
16,16,1.5093,0.0,1.0
17,17,1.4862,0.0,1.0
18,18,1.4573,0.0,1.0
19,19,1.4280000000000002,0.0,1.0
20,20,1.3939,0.0,1.0
21,21,1.4451,0.0,1.0
22,22,1.4263,0.0,1.0
23,23,1.4075,0.0,1.0
24,24,1.3884,0.0,1.0
25,25,1.3787,0.0,1.0
26,26,1.3641,0.0,1.0
27,27,1.3559,0.0,1.0
28,28,1.3437,0.0,1.0
29,29,1.3395,0.0,1.0
30,30,1.3485,0.0,1.0
31,31,1.2922,0.0,1.0
32,32,1.327,0.0,1.0
33,33,1.2789,0.0,1.0
34,34,1.2948,0.0,1.0
35,35,1.3086,0.0,1.0
36,36,1.2589,0.0,1.0
37,37,1.1962,0.0,1.0
38,38,1.1886,0.0,1.0
39,39,1.1042,0.0,1.0
40,40,1.0286,0.0,1.0
41,41,0.9531,0.0,1.0
42,42,0.8778,0.0,1.0
43,43,0.8855,0.0,1.0
44,44,0.7961,0.0,1.0
45,45,0.7718,0.0,1.0
46,46,0.7487,0.0,1.0
47,47,0.6751,0.0,1.0
48,48,0.6746,0.0,1.0
49,49,0.6722,0.0,1.0
50,50,0.6789,0.0,1.0
51,51,0.6952,0.0,1.0
52,52,0.7112,0.0,1.0
53,53,0.7185,0.0,1.0
54,54,0.7846,0.0,1.0
55,55,0.7749,0.0,1.0
56,56,0.8451,0.0,1.0
57,57,0.8654,0.0,1.0
58,58,0.9372,0.0,1.0
59,59,0.9367,0.0,1.0
60,60,1.0112,0.0,1.0
61,61,1.0047,0.0,1.0
62,62,1.0708,0.0,1.0
63,63,1.1347,0.0,1.0
64,64,1.1384,0.0,1.0
65,65,1.22,0.0,1.0
66,66,1.3005,0.0,1.0
67,67,1.308,0.0,1.0
68,68,1.3841,0.0,1.0
69,69,1.3936,0.0,1.0
70,70,1.3982,0.0,1.0
71,71,1.3984,0.0,1.0
72,72,1.3952,0.0,1.0
73,73,1.3939,0.0,1.0
74,74,1.3159,0.0,1.0
75,75,1.3138,0.0,1.0
76,76,1.31,0.0,1.0
77,77,1.2338,0.0,1.0
78,78,1.2274,0.0,1.0
79,79,1.2286,0.0,1.0
80,80,1.1643,0.0,1.0
81,81,1.1505,0.0,1.0
82,82,1.0658,0.0,1.0
83,83,1.0542,0.0,1.0
84,84,1.0458,0.0,1.0
85,85,0.9574,0.0,1.0
86,86,0.9496,0.0,1.0
87,87,0.9483,0.0,1.0
88,88,0.9422,0.0,1.0
89,89,0.8669,0.0,1.0
90,90,0.8615,0.0,1.0
91,91,0.8539,0.0,1.0
92,92,0.8535,0.0,1.0
